证券代码,证券简称,实际控制人属性[交易日期]2019/12/31,实际控制人属性[交易日期]2018/12/31,实际控制人属性[交易日期]2017/12/31,实际控制人属性[交易日期]2016/12/31,实际控制人属性[交易日期]2015/12/31,实际控制人属性[交易日期]2014/12/31,实际控制人属性[交易日期]2013/12/31,实际控制人属性[交易日期]2012/12/31,实际控制人属性[交易日期]2011/12/31
000001.SZ,平安银行,,,,,,,,,
000002.SZ,万科A,,,,,,,,,
000004.SZ,国农科技,个人,个人,个人,个人,个人,个人,个人,个人,个人
000005.SZ,世纪星源,个人,个人,个人,个人,个人,个人,个人,个人,个人
000006.SZ,深振业A,地方国资,地方国资,地方国资,地方国资,地方国资,地方国资,地方国资,地方国资,地方国资委
000007.SZ,全新好,个人,个人,个人,个人,个人,个人,个人,个人,个人
000008.SZ,神州高铁,国资委,国资委,,,个人,个人,个人,个人,个人
000009.SZ,中国宝安,,,,,,,,,
000010.SZ,ST美丽,个人,个人,个人,个人,个人,个人,个人,个人,个人
000011.SZ,深物业A,地方国资,地方国资,地方国资,地方国资,地方国资,地方国资,地方国资,地方国资,地方国资委
